# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Sep 26 06:50:01 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_pnum > 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_discmethod:  Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_ttvflag:     TTV Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance Upper Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance Lower Unc. [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_distlim:     Distance Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_massblend:   Stellar Mass Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radblend:    Stellar Radius Blend Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_ttvflag,st_dist,st_disterr1,st_disterr2,st_distlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend
929,Kepler-106,e,Transit,4,43.8445,,,0,,,,,,,,,0.035,0.018,-0.018,0,Mass,0.228,0.029,-0.029,0,0,,,,,1,0.06,-0.06,0,0,1.04,0.17,-0.17,0,0
935,Kepler-1065,b,Transit,2,3.60930891,0.0000051,-0.0000051,0,,,,,,,,,,,,,,0.333,0.057,-0.032,0,0,1078,190.09,-110.73,0,0.94,0.07,-0.06,0,0,0.93,0.16,-0.09,0,0
936,Kepler-1065,c,Transit,2,2.37030743,0.00001691,-0.00001691,0,,,,,,,,,,,,,,0.143,0.021,-0.015,0,0,1078,190.09,-110.73,0,0.94,0.07,-0.06,0,0,0.93,0.16,-0.09,0,0
941,Kepler-107,b,Transit,4,3.179997,0.000011,-0.000011,0,0.044,,,0,,,,,,,,,,0.139,0.005,-0.005,0,0,,,,,,,,,,1.41,0.05,-0.05,0,0
942,Kepler-107,c,Transit,4,4.901425,0.000016,-0.000016,0,0.059,,,0,,,,,,,,,,0.161,0.016,-0.016,0,0,,,,,,,,,,1.41,0.05,-0.05,0,0
943,Kepler-107,d,Transit,4,7.958203,0.000104,-0.000104,0,0.082,,,0,,,,,,,,,,0.095,0.005,-0.005,0,0,,,,,,,,,,1.41,0.05,-0.05,0,0
944,Kepler-107,e,Transit,4,14.749049,0.000034,-0.000034,0,0.123,,,0,,,,,,,,,,0.308,0.022,-0.022,0,0,,,,,,,,,,1.41,0.05,-0.05,0,0
948,Kepler-1073,b,Transit,2,8.67888593,0.00002409,-0.00002409,0,,,,,,,,,,,,,,0.205,0.044,-0.022,0,0,837,184.95,-97.84,0,1,0.1,-0.07,0,0,1,0.21,-0.11,0,0
949,Kepler-1073,c,Transit,2,4.02582254,0.00001484,-0.00001484,0,,,,,,,,,,,,,,0.146,0.03,-0.016,0,0,837,184.95,-97.84,0,1,0.1,-0.07,0,0,1,0.21,-0.11,0,0
956,Kepler-108,b,Transit,2,49.183921,0.000054,-0.000054,0,0.292,,,0,,,,,,,,,,0.772,0.043,-0.043,0,0,,,,,0.87,,,0,0,2.19,0.12,-0.12,0,0
957,Kepler-108,c,Transit,2,190.323494,0.000988,-0.000988,0,0.721,,,0,,,,,,,,,,0.73,0.045,-0.045,0,1,,,,,0.87,,,0,0,2.19,0.12,-0.12,0,0
964,Kepler-1086,b,Transit,2,18.78425728,0.00005283,-0.00005283,0,,,,,,,,,,,,,,0.218,0.031,-0.025,0,0,464,13.95,-14.69,0,0.7,0.02,-0.03,0,0,0.66,0.01,-0.02,0,0
965,Kepler-1086,c,Transit,2,161.5163345,0.0008629,-0.0008629,0,,,,,,,,,,,,,,0.262,0.01,-0.012,0,0,464,13.95,-14.69,0,0.7,0.02,-0.03,0,0,0.66,0.01,-0.02,0,0
969,Kepler-109,b,Transit,2,6.48163,,,0,,,,,,,,,0.004,0.017,-0.017,0,Mass,0.211,0.006,-0.006,0,0,,,,,1.04,0.06,-0.06,0,0,1.32,0.04,-0.04,0,0
970,Kepler-109,c,Transit,2,21.2227,,,0,,,,,,,,,0.007,0.025,-0.025,0,Mass,0.225,0.006,-0.006,0,0,,,,,1.04,0.06,-0.06,0,0,1.32,0.04,-0.04,0,0
974,Kepler-1093,b,Transit,2,25.0824626,0.0001211,-0.0001211,0,,,,,,,,,,,,,,0.174,0.055,-0.022,0,0,848,270.02,-115.2,0,1.13,0.14,-0.09,0,0,1.2,0.38,-0.15,0,0
975,Kepler-1093,c,Transit,2,89.722292,0.00108,-0.00108,0,,,,,,,,,,,,,,0.175,0.064,-0.024,0,0,848,270.02,-115.2,0,1.13,0.14,-0.09,0,0,1.2,0.38,-0.15,0,0
982,Kepler-11,b,Transit,6,10.3039,0.0006,-0.001,0,0.091,0.001,-0.001,0,0.045,0.068,-0.042,0,0.006,0.004,-0.003,0,Mass,0.161,0.003,-0.004,0,1,613,,,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0
983,Kepler-11,c,Transit,6,13.0241,0.0013,-0.0008,0,0.107,0.001,-0.001,0,0.026,0.063,-0.013,0,0.009,0.009,-0.005,0,Mass,0.256,0.004,-0.005,0,1,613,,,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0
984,Kepler-11,d,Transit,6,22.6845,0.0009,-0.0009,0,0.155,0.001,-0.001,0,0.004,0.007,-0.002,0,0.023,0.003,-0.005,0,Mass,0.278,0.005,-0.006,0,1,613,,,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0
985,Kepler-11,e,Transit,6,31.9996,0.0008,-0.0012,0,0.195,0.002,-0.002,0,0.012,0.006,-0.006,0,0.025,0.005,-0.007,0,Mass,0.374,0.006,-0.008,0,1,613,,,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0
986,Kepler-11,f,Transit,6,46.6888,0.0027,-0.0032,0,0.25,0.002,-0.002,0,0.013,0.011,-0.009,0,0.006,0.003,-0.003,0,Mass,0.222,0.004,-0.006,0,1,613,,,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0
987,Kepler-11,g,Transit,6,118.3807,0.001,-0.0006,0,0.466,0.004,-0.004,0,0.15,,,1,0.079,,,1,Mass,0.297,0.005,-0.007,0,1,613,,,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0
988,Kepler-110,b,Transit,2,12.691112,0.000036,-0.000036,0,0.107,,,0,,,,,,,,,,0.163,0.032,-0.032,0,0,,,,,,,,,,1.15,0.23,-0.23,0,0
989,Kepler-110,c,Transit,2,31.719775,0.000104,-0.000104,0,0.198,,,0,,,,,,,,,,0.197,0.039,-0.039,0,0,,,,,,,,,,1.15,0.23,-0.23,0,0
1000,Kepler-111,b,Transit,2,3.341815,0.000006,-0.000006,0,0.046,,,0,,,,,,,,,,0.141,0.018,-0.018,0,1,,,,,,,,,,1.16,0.14,-0.14,0,0
1001,Kepler-111,c,Transit,2,224.784608,0.000411,-0.000411,0,0.761,,,0,,,,,,,,,,0.651,0.081,-0.081,0,1,,,,,,,,,,1.16,0.14,-0.14,0,0
1012,Kepler-112,b,Transit,2,8.408878,0.00001,-0.00001,0,0.076,,,0,,,,,,,,,,0.211,0.051,-0.051,0,0,,,,,,,,,,0.84,0.2,-0.2,0,0
1013,Kepler-112,c,Transit,2,28.574263,0.00006,-0.00006,0,0.172,,,0,,,,,,,,,,0.214,0.052,-0.052,0,0,,,,,,,,,,0.84,0.2,-0.2,0,0
1023,Kepler-1129,b,Transit,2,24.3397804,0.0001298,-0.0001298,0,,,,,,,,,,,,,,0.264,0.045,-0.029,0,0,1258,220.24,-125.26,0,1,0.06,-0.06,0,0,1,0.17,-0.1,0,0
1024,Kepler-1129,c,Transit,2,76.5369586,0.0007586,-0.0007586,0,,,,,,,,,,,,,,0.244,0.041,-0.024,0,0,1258,220.24,-125.26,0,1,0.06,-0.06,0,0,1,0.17,-0.1,0,0
1025,Kepler-113,b,Transit,2,4.754,,,0,,,,,,,,,0.037,0.013,-0.013,0,Mass,0.162,0.004,-0.004,0,0,,,,,0.75,0.06,-0.06,0,0,0.69,0.02,-0.02,0,0
1026,Kepler-113,c,Transit,2,8.92507,,,0,,,,,,,,,0.027,,,1,Mass,0.194,0.005,-0.005,0,0,,,,,0.75,0.06,-0.06,0,0,0.69,0.02,-0.02,0,0
1037,Kepler-114,b,Transit,3,5.188549,0.000012,-0.000012,0,0.053,,,0,,,,,,,,,,0.112,0.012,-0.012,0,0,,,,,0.56,0.06,-0.06,0,0,0.67,0.04,-0.04,0,0
1038,Kepler-114,c,Transit,3,8.041,,,0,,,,,,,,,0.009,0.002,-0.002,0,Mass,0.143,0.016,-0.016,0,1,,,,,0.56,0.06,-0.06,0,0,0.67,0.04,-0.04,0,0
1039,Kepler-114,d,Transit,3,11.776,,,0,,,,,,,,,0.012,0.005,-0.005,0,Mass,0.226,0.025,-0.025,0,1,,,,,0.56,0.06,-0.06,0,0,0.67,0.04,-0.04,0,0
1043,Kepler-1143,b,Transit,2,2.88890485,0.00000694,-0.00000694,0,,,,,,,,,,,,,,0.149,0.012,-0.01,0,0,632,50.17,-39.16,0,0.81,0.05,-0.05,0,0,0.77,0.05,-0.04,0,0
1044,Kepler-1143,c,Transit,2,210.630591,0.001456,-0.001456,0,,,,,,,,,,,,,,0.321,0.045,-0.031,0,0,632,50.17,-39.16,0,0.81,0.05,-0.05,0,0,0.77,0.05,-0.04,0,0
1051,Kepler-115,b,Transit,2,2.403679,0.000012,-0.000012,0,0.036,,,0,,,,,,,,,,0.097,0.019,-0.019,0,0,,,,,1,,,0,0,1.21,0.23,-0.23,0,0
1052,Kepler-115,c,Transit,2,8.990889,0.000021,-0.000021,0,0.087,,,0,,,,,,,,,,0.232,0.045,-0.045,0,0,,,,,1,,,0,0,1.21,0.23,-0.23,0,0
1057,Kepler-1154,b,Transit,2,5.1856142,0.00002676,-0.00002676,0,,,,,,,,,,,,,,0.209,0.095,-0.044,0,0,1531,690.96,-336.46,0,1.26,0.25,-0.16,0,0,1.43,0.65,-0.29,0,0
1058,Kepler-1154,c,Transit,2,8.45808312,0.00004757,-0.00004757,0,,,,,,,,,,,,,,0.211,0.085,-0.044,0,0,1531,690.96,-336.46,0,1.26,0.25,-0.16,0,0,1.43,0.65,-0.29,0,0
1064,Kepler-116,b,Transit,2,5.968734,0.000009,-0.000009,0,0.069,,,0,,,,,,,,,,0.305,0.058,-0.058,0,0,,,,,1.16,,,0,0,1.45,0.27,-0.27,0,0
1065,Kepler-116,c,Transit,2,13.07163,0.000056,-0.000056,0,0.116,,,0,,,,,,,,,,0.205,0.039,-0.039,0,0,,,,,1.16,,,0,0,1.45,0.27,-0.27,0,0
1076,Kepler-117,b,Transit,2,18.7959228,0.0000075,-0.0000075,0,0.1445,0.0047,-0.0014,0,0.0493,0.0062,-0.0062,0,0.094,0.033,-0.033,0,Mass,0.719,0.024,-0.024,0,0,1430,50,-50,0,1.13,0.13,-0.02,0,0,1.61,0.05,-0.05,0,0
1077,Kepler-117,c,Transit,2,50.790391,0.000014,-0.000014,0,0.2804,0.0092,-0.0028,0,0.0323,0.0033,-0.0033,0,1.84,0.18,-0.18,0,Mass,1.101,0.035,-0.035,0,0,1430,50,-50,0,1.13,0.13,-0.02,0,0,1.61,0.05,-0.05,0,0
1088,Kepler-118,b,Transit,2,7.518496,0.000056,-0.000056,0,0.073,,,0,,,,,,,,,,0.175,0.084,-0.084,0,0,,,,,0.86,,,0,0,1.09,0.49,-0.49,0,0
1089,Kepler-118,c,Transit,2,20.17202,0.000013,-0.000013,0,0.141,,,0,,,,,,,,,,0.685,0.306,-0.306,0,0,,,,,0.86,,,0,0,1.09,0.49,-0.49,0,0
1100,Kepler-119,b,Transit,2,2.422082,0.000001,-0.000001,0,0.035,,,0,,,,,,,,,,0.321,0.122,-0.122,0,0,,,,,,,,,,0.84,0.32,-0.32,0,0
1101,Kepler-119,c,Transit,2,4.125103,0.000028,-0.000028,0,0.049,,,0,,,,,,,,,,0.082,0.031,-0.031,0,0,,,,,,,,,,0.84,0.32,-0.32,0,0
1113,Kepler-120,b,Transit,2,6.312501,0.000008,-0.000008,0,0.055,,,0,,,,,,,,,,0.192,0.015,-0.015,0,0,,,,,,,,,,0.53,0.03,-0.03,0,0
1114,Kepler-120,c,Transit,2,12.794585,0.000044,-0.000044,0,0.088,,,0,,,,,,,,,,0.136,0.008,-0.008,0,0,,,,,,,,,,0.53,0.03,-0.03,0,0
1125,Kepler-121,b,Transit,2,3.177422,0.000003,-0.000003,0,0.039,,,0,,,,,,,,,,0.209,0.113,-0.113,0,0,,,,,,,,,,0.7,0.38,-0.38,0,0
1126,Kepler-121,c,Transit,2,41.008011,0.000191,-0.000191,0,0.216,,,0,,,,,,,,,,0.203,0.112,-0.112,0,0,,,,,,,,,,0.7,0.38,-0.38,0,0
1137,Kepler-122,b,Transit,5,5.766193,0.000016,-0.000016,0,0.064,,,0,,,,,,,,,,0.209,0.041,-0.041,0,0,,,,,0.99,,,0,0,1.22,0.24,-0.24,0,0
1138,Kepler-122,c,Transit,5,12.465988,0.000009,-0.000009,0,0.108,,,0,,,,,,,,,,0.524,0.103,-0.103,0,0,,,,,0.99,,,0,0,1.22,0.24,-0.24,0,0
1139,Kepler-122,d,Transit,5,21.587475,0.000164,-0.000164,0,0.155,,,0,,,,,,,,,,0.196,0.039,-0.039,0,0,,,,,0.99,,,0,0,1.22,0.24,-0.24,0,0
1140,Kepler-122,e,Transit,5,37.993273,0.00039,-0.00039,0,0.227,,,0,,,,,,,,,,0.232,0.048,-0.048,0,1,,,,,0.99,,,0,0,1.22,0.24,-0.24,0,0
1141,Kepler-122,f,Transit Timing Variations,5,56.268,,,0,,,,,,,,,0.113,0.061,-0.051,0,Mass,0.156,0.054,-0.014,0,1,,,,,0.99,,,0,0,1.22,0.24,-0.24,0,0
1152,Kepler-123,b,Transit,2,17.232366,0.000056,-0.000056,0,0.135,,,0,,,,,,,,,,0.262,0.051,-0.051,0,0,,,,,1.03,,,0,0,1.26,0.24,-0.24,0,0
1153,Kepler-123,c,Transit,2,26.695074,0.000468,-0.000468,0,0.181,,,0,,,,,,,,,,0.132,0.027,-0.027,0,0,,,,,1.03,,,0,0,1.26,0.24,-0.24,0,0
1164,Kepler-124,b,Transit,3,3.410493,0.000021,-0.000021,0,0.039,,,0,,,,,,,,,,0.065,0.004,-0.004,0,0,,,,,,,,,,0.64,0.03,-0.03,0,0
1165,Kepler-124,c,Transit,3,13.821375,0.000037,-0.000037,0,0.1,,,0,,,,,,,,,,0.156,0.008,-0.008,0,0,,,,,,,,,,0.64,0.03,-0.03,0,0
1166,Kepler-124,d,Transit,3,30.950851,0.000361,-0.000361,0,0.17,,,0,,,,,,,,,,0.099,0.006,-0.006,0,0,,,,,,,,,,0.64,0.03,-0.03,0,0
1172,Kepler-1245,b,Transit,2,4.35409304,0.00001933,-0.00001933,0,,,,,,,,,,,,,,0.128,0.011,-0.009,0,0,861,66.19,-52.28,0,0.86,0.04,-0.04,0,0,0.83,0.06,-0.05,0,0
1173,Kepler-1245,c,Transit,2,2.93658468,0.0000084,-0.0000084,0,,,,,,,,,,,,,,0.128,0.012,-0.007,0,0,861,66.19,-52.28,0,0.86,0.04,-0.04,0,0,0.83,0.06,-0.05,0,0
1178,Kepler-125,b,Transit,2,4.164389,0.000003,-0.000003,0,0.041,,,0,,,,,,,,,,0.211,0.009,-0.009,0,0,,,,,0.55,,,0,0,0.51,0.02,-0.02,0,0
1179,Kepler-125,c,Transit,2,5.774464,0.000047,-0.000047,0,0.051,,,0,,,,,,,,,,0.066,0.004,-0.004,0,0,,,,,0.55,,,0,0,0.51,0.02,-0.02,0,0
1184,Kepler-1254,b,Transit,3,9.99113313,0.0000561,-0.0000561,0,,,,,,,,,,,,,,0.138,0.008,-0.011,0,0,676,31.89,-48.38,0,0.78,0.04,-0.05,0,0,0.75,0.03,-0.05,0,0
1185,Kepler-1254,c,Transit,3,3.60084276,0.000019,-0.000019,0,,,,,,,,,,,,,,0.116,0.006,-0.011,0,0,676,31.89,-48.38,0,0.78,0.04,-0.05,0,0,0.75,0.03,-0.05,0,0
1186,Kepler-1254,d,Transit,3,5.72717226,0.00002908,-0.00002908,0,,,,,,,,,,,,,,0.117,0.008,-0.01,0,0,676,31.89,-48.38,0,0.78,0.04,-0.05,0,0,0.75,0.03,-0.05,0,0
1192,Kepler-126,b,Transit,3,10.495711,0.000028,-0.000028,0,0.099,,,0,,,,,,,,,,0.136,0.009,-0.009,0,1,,,,,,,,,,1.36,0.02,-0.02,0,0
1193,Kepler-126,c,Transit,3,21.869741,0.000082,-0.000082,0,0.162,,,0,,,,,,,,,,0.141,0.012,-0.012,0,1,,,,,,,,,,1.36,0.02,-0.02,0,0
1194,Kepler-126,d,Transit,3,100.283134,0.000255,-0.000255,0,0.448,,,0,,,,,,,,,,0.223,0.004,-0.004,0,1,,,,,,,,,,1.36,0.02,-0.02,0,0
1205,Kepler-127,b,Transit,3,14.435889,0.000063,-0.000063,0,0.125,,,0,,,,,,,,,,0.125,0.004,-0.004,0,0,,,,,,,,,,1.36,0.04,-0.04,0,0
1206,Kepler-127,c,Transit,3,29.393195,0.000073,-0.000073,0,0.2,,,0,,,,,,,,,,0.237,0.012,-0.012,0,1,,,,,,,,,,1.36,0.04,-0.04,0,0
1207,Kepler-127,d,Transit,3,48.630408,0.000128,-0.000128,0,0.28,,,0,,,,,,,,,,0.236,0.012,-0.012,0,0,,,,,,,,,,1.36,0.04,-0.04,0,0
1218,Kepler-128,b,Transit,2,15.09,,,0,,,,,,,,,0.097,0.019,-0.019,0,Mass,0.101,0.003,-0.003,0,1,,,,,1.18,0.07,-0.07,0,0,1.66,0.04,-0.04,0,0
1219,Kepler-128,c,Transit,2,22.804,,,0,,,,,,,,,0.105,0.01,-0.01,0,Mass,0.101,0.003,-0.003,0,1,,,,,1.18,0.07,-0.07,0,0,1.66,0.04,-0.04,0,0
1230,Kepler-129,b,Transit,2,15.79186,0.000068,-0.000068,0,0.131,,,0,,,,,,,,,,0.211,0.019,-0.019,0,0,,,,,1.18,,,0,0,1.64,0.05,-0.05,0,0
1231,Kepler-129,c,Transit,2,82.20017,0.00068,-0.00068,0,0.393,,,0,,,,,,,,,,0.227,0.009,-0.009,0,0,,,,,1.18,,,0,0,1.64,0.05,-0.05,0,0
1242,Kepler-130,b,Transit,3,8.457458,0.000039,-0.000039,0,0.079,,,0,,,,,,,,,,0.091,0.004,-0.004,0,1,,,,,1,0.09,-0.1,0,0,1.13,0.03,-0.03,0,0
1243,Kepler-130,c,Transit,3,27.50868,0.00006,-0.00007,0,0.178,0.005,-0.005,0,0,0.07,0,0,,,,,,0.259,0.022,-0.022,0,1,,,,,1,0.09,-0.1,0,0,1.13,0.03,-0.03,0,0
1244,Kepler-130,d,Transit,3,87.517905,0.000744,-0.000744,0,0.377,,,0,,,,,,,,,,0.146,0.014,-0.014,0,0,,,,,1,0.09,-0.1,0,0,1.13,0.03,-0.03,0,0
1255,Kepler-131,b,Transit,2,16.092,,,0,,,,,,,,,0.051,0.011,-0.011,0,Mass,0.215,0.018,-0.018,0,0,,,,,1.02,0.06,-0.06,0,0,1.03,0.1,-0.1,0,0
1256,Kepler-131,c,Transit,2,25.5169,,,0,,,,,,,,,0.026,0.019,-0.019,0,Mass,0.075,0.006,-0.006,0,0,,,,,1.02,0.06,-0.06,0,0,1.03,0.1,-0.1,0,0
1258,Kepler-1311,b,Transit,2,11.1726994,0.0001387,-0.0001387,0,,,,,,,,,,,,,,0.111,0.022,-0.023,0,0,705,150.27,-148.6,0,1.05,0.08,-0.06,0,0,1.4,0.3,-0.3,0,0
1259,Kepler-1311,c,Transit,2,2.53573424,0.00001018,-0.00001018,0,,,,,,,,,,,,,,0.109,0.025,-0.021,0,0,705,150.27,-148.6,0,1.05,0.08,-0.06,0,0,1.4,0.3,-0.3,0,0
1268,Kepler-132,b,Transit,4,6.178196,0.000022,-0.000022,0,0.067,,,0,,,,,,,,,,0.108,0.021,-0.021,0,0,,,,,,,,,,1.18,0.23,-0.23,0,0
1269,Kepler-132,c,Transit,4,6.414914,0.000019,-0.000019,0,0.068,,,0,,,,,,,,,,0.114,0.022,-0.022,0,0,,,,,,,,,,1.18,0.23,-0.23,0,0
1270,Kepler-132,d,Transit,4,18.010199,0.000067,-0.000067,0,0.136,,,0,,,,,,,,,,0.138,0.027,-0.027,0,0,,,,,,,,,,1.18,0.23,-0.23,0,0
1271,Kepler-132,e,Transit,4,110.2869374,0.000878,-0.000878,0,,,,,,,,,,,,,,0.105,0.014,-0.011,0,0,,,,,,,,,,1.18,0.23,-0.23,0,0
1273,Kepler-1321,b,Transit,2,11.12830484,0.00002043,-0.00002043,0,,,,,,,,,,,,,,0.439,0.054,-0.054,0,0,547,94.33,-53.71,0,0.54,0.07,-0.04,0,0,0.53,0.06,-0.04,0,0
1274,Kepler-1321,c,Transit,2,2.22649109,0.00000524,-0.00000524,0,,,,,,,,,,,,,,0.214,0.027,-0.016,0,0,547,94.33,-53.71,0,0.54,0.07,-0.04,0,0,0.53,0.06,-0.04,0,0
1283,Kepler-133,b,Transit,2,8.129976,0.000038,-0.000038,0,0.083,,,0,,,,,,,,,,0.157,0.027,-0.027,0,0,,,,,,,,,,1.43,0.24,-0.24,0,0
1284,Kepler-133,c,Transit,2,31.517586,0.000158,-0.000158,0,0.204,,,0,,,,,,,,,,0.253,0.043,-0.043,0,0,,,,,,,,,,1.43,0.24,-0.24,0,0
1291,Kepler-1336,b,Transit,2,23.198681,0.0002546,-0.0002546,0,,,,,,,,,,,,,,0.177,0.027,-0.036,0,0,822,119.57,-166.9,0,0.94,0.05,-0.04,0,0,1.3,0.19,-0.26,0,0
